,plr_id,plr_name
0,08401245,Frauenviertel
1,08401244,Waßmannsdorfer Chaussee
2,08401246,Waltersdorfer Chaussee Ost
3,08401243,Alt-Rudow
4,08401242,Zittauer Straße
5,08301037,Gropiusstadt Süd-Ost
6,08301036,Gropiusstadt Mitte
7,08401241,Blumenviertel
8,08300934,Gropiusstadt Nord-West
9,08300935,Gropiusstadt Süd-West
10,08200833,Buckow Ost
11,08200832,Buckow Mitte
12,08200730,Handwerker-Siedlung
13,08401139,Vogelviertel Süd
14,08401140,Vogelviertel Nord
15,08401138,Goldhähnchenweg
16,08200728,Ortolanweg
17,08200726,Hufeisensiedlung
18,08200623,Park am Buschkrug
19,08200622,Jahnstraße
20,08100521,Schulenburgpark
21,08100520,Weiße Siedlung
22,08100418,Hertzbergplatz
23,08100419,Treptower Straße Nord
24,08100416,Alt-Rixdorf
25,08100417,Braunschweiger Straße
26,08100415,Ganghoferstraße
27,08100207,Rollberg
28,08100208,Körnerpark
29,08100209,Glasower Straße
30,08100206,Flughafenstraße
31,08100314,Donaustraße
32,08100312,Weichselplatz
33,08100313,Bouchéstraße
34,08100311,Reuterplatz
35,08100310,Maybachufer
36,02200213,Graefekiez Nord
37,02200212,Graefekiez Süd
38,08100101,Hasenheide
39,08100102,Schillerpromenade Nord
40,08100103,Schillerpromenade Süd
41,08100104,Wartheplatz
42,07400721,Paradestraße
43,07400927,Rathaus Tempelhof
44,07400928,Germaniagarten
45,08100105,Silbersteinstraße
46,08200624,Tempelhofer Weg
47,08200727,Parchimer Allee Süd
48,08200725,Mohriner Allee Nord
49,08200729,Britzer Garten
50,08200831,Buckow West
51,07601548,Wittelsbacherstraße
52,07601547,Horstwalder Straße
53,07601544,John-Locke-Straße
54,07601546,Franziusweg
55,07601545,Nahariyastraße
56,07601443,Töpchiner Weg
57,07601442,Kettinger Straße
58,07601341,Diedersdorfer Weg
59,07601238,Marienfelde Nordost
60,07501135,Birnhornweg
61,07601237,Kirchstraße
62,07601236,Marienfelder Allee Nordwest
63,07601340,Tirschenreuther Ring Ost
